humbs.db,humbs.d
18960747,1000
18960747,1002
11091859,1003
12367117,1004
12367117,1005
12367117,1006
12367117,1007
12367117,1008
12367117,1009
14426911,100
12367117,1010
26716035,1012
26716035,1013
13468897,1014
13468897,1015
14426911,101
14426911,102
14426911,103
14426911,104
47411281,107
47411281,108
47411281,109
18120594,10
47411281,110
15056726,115
15056726,116
18120594,11
19667685,125
31217237,126
31217237,127
13714398,128
13714398,129
42927084,130
46411668,131
46411668,132
46411668,133
46411668,134
46411668,135
47336739,137
47336739,139
40104760,140
40104760,141
13743202,142
41985537,145
41985537,146
41985537,147
46440673,14
30262645,150
30262645,151
30262645,152
30262645,153
30262645,154
30262645,155
30160624,156
30160624,157
30160624,158
30160624,159
46440673,15
47192542,161
47192542,162
44546537,163
13743202,164
26046541,165
13574165,168
13574165,169
18514694,16
13574165,170
44527822,171
44527822,172
40905583,173
40905583,174
40905583,175
16916256,179
34007554,17
16916256,180
16916256,181
17548966,182
17548966,183
17548966,184
17548966,185
33391775,186
13574165,187
13574165,189
48477594,18
13574165,190
13574165,191
46507925,194
44546537,196
46741422,197
46741422,198
46741422,199
48477594,19
40600345,1
46741422,200
40905583,201
40905583,202
40905583,203
39964948,204
39964948,205
19614814,208
40905583,209
33802888,20
46004527,210
46007665,211
46007665,212
34089284,213
34089284,214
34089284,215
34089284,216
34089284,217
45753453,218
45753453,219
33802888,21
45753453,220
45753453,221
45753453,222
45753453,223
15192204,224
15192204,225
40905583,226
40905583,227
45699357,228
45699357,229
35996455,22
45699357,230
24213578,231
24213578,232
24213578,233
24213578,234
24213578,235
24213578,236
24213578,237
24213578,238
24213578,239
35996455,23
24213578,240
45891122,241
45891122,242
45891122,243
44692221,244
44692221,245
44692221,246
44692221,247
44692221,248
44692221,249
35996455,24
44692221,250
44692221,251
44692221,252
44692221,253
44692221,254
44692221,255
44692221,256
44692221,257
44692221,258
44692221,259
44692221,260
44692221,261
44692221,262
44692221,263
44692221,264
24269519,265
24269519,266
44241058,267
42871338,268
45668478,269
35996455,26
45668478,270
45668478,271
45668478,272
24213578,273
24213578,274
24213578,275
24213578,276
42871338,277
44692221,278
44692221,279
46440673,27
44692221,280
44692221,281
44692221,282
44692221,283
44692221,284
44692221,285
44692221,286
44692221,287
44692221,288
44692221,289
46440673,28
44692221,290
44692221,291
44692221,292
44692221,293
44692221,294
44692221,295
44692221,296
44692221,297
44692221,298
44692221,299
36806137,2
44692221,300
43747229,301
43747229,302
43747229,303
40905583,304
24213578,305
24213578,306
24213578,307
24213578,308
32012930,309
38733925,312
45113978,320
45113978,321
31997704,327
44546537,328
26109738,329
26109738,330
26109738,331
45178449,332
45178449,333
41448393,334
41448393,335
10606830,336
10606830,337
10606830,338
31997881,339
31997881,340
31997881,341
45113978,342
15189828,343
15189828,344
40643900,345
25602342,348
25602342,349
48477594,34
25602342,350
25602342,351
25602342,352
25602342,353
25602342,354
16916256,355
16916256,356
16916256,357
16916256,358
31046187,359
48477594,35
31046187,360
31046187,361
31046187,362
31046187,363
16171279,364
31586685,365
39304027,366
39304027,367
13121794,368
13121794,369
48477594,36
13121794,370
44989273,371
44989273,372
44989273,373
26109738,374
26109738,375
28128951,377
44243023,380
17302850,381
17302850,382
17302850,383
17302850,384
17302850,385
40617677,386
40905583,387
40905583,388
40425498,389
40425498,390
44777076,392
11037350,393
11037350,394
11037350,395
13566568,397
42762883,398
42762883,399
11545495,39
36806137,3
42762883,400
44684749,401
44684749,402
24005227,403
24005227,404
24005227,405
24005227,406
24005227,407
23879254,408
23879254,409
11545495,40
23879254,410
23879254,411
23879254,413
23879254,414
23879254,415
23879254,416
23879254,417
23879254,418
23879254,419
11545495,41
27420368,421
33539724,422
33539724,423
33539724,424
33539724,425
44356758,426
45514021,42
13887861,431
13887861,432
13887861,433
13887861,434
13887861,435
13887861,436
13887861,437
13887861,438
13887861,439
45514021,43
13887861,440
44039851,442
44039851,443
11384289,444
45514021,44
22782472,450
22782472,451
22782472,452
19169718,453
40022262,454
35724559,455
26066590,456
26066590,457
25945063,458
43050956,459
48113960,45
43050956,460
43050956,461
37215811,464
23472862,465
23472862,466
40868994,467
40868994,468
43106145,469
43106145,470
43106145,471
43106145,472
40868994,473
48113960,47
35598130,480
35598130,481
35598130,482
35598130,483
35598130,484
35598130,485
35598130,486
35598130,487
36723249,491
25816792,492
25816792,493
43002452,495
43002452,496
41712544,497
41712544,498
42886082,499
48113960,49
41140790,4
35183514,500
35183514,501
35183514,502
35183514,503
19513353,504
19513353,505
29965999,506
12817977,507
23330812,509
48113960,50
39852773,510
42457150,511
42644985,512
42644985,513
42236803,514
42236803,515
42236803,516
33289935,518
33289935,519
48113960,51
33289935,520
33289935,521
33289935,522
33289935,523
33289935,524
33289935,525
33289935,526
33289935,527
33289935,528
11291635,529
48089276,52
42479059,530
42479059,531
32629903,532
29965999,533
29965999,534
29965999,535
29965999,536
42221267,537
42032861,538
